PassengerId,HomePlanet,CryoSleep,Deck,Num,Side,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,FirstName,LastName,Spa,VRDeck
0079_01,1,1,7,12,2,3,48.0,0,0.0,0.0,0.0,467,217,0.0,0.0
0080_01,1,0,7,7,1,3,23.0,0,14.0,870.0,0.0,2311,800,0.0,23.0
0083_01,1,0,7,8,1,3,24.0,0,483.0,0.0,87.0,2370,970,214.0,0.0
0087_01,1,0,5,3,1,3,19.0,0,0.0,20.0,135.0,2217,2331,265.0,367.0
0089_01,2,1,6,19,2,3,24.0,0,0.0,0.0,0.0,580,2364,0.0,0.0
0093_01,1,0,7,10,1,3,27.0,0,66.0,1736.0,0.0,1498,1324,0.0,15.0
0094_01,1,1,7,17,2,3,6.0,0,-1.0,0.0,0.0,473,1564,0.0,0.0
0094_02,1,0,6,21,2,3,33.0,0,0.0,0.0,0.0,595,1564,866.0,0.0
0095_01,1,0,6,18,1,2,23.0,0,0.0,0.0,1235.0,2364,1744,0.0,0.0
0096_01,1,0,6,22,2,2,30.0,0,1.0,0.0,1585.0,2274,1783,0.0,484.0
0100_01,1,0,7,13,1,3,-1.0,-1,0.0,17.0,997.0,1939,1725,0.0,0.0
0100_02,1,0,7,13,1,3,1.0,0,0.0,0.0,0.0,1489,1725,0.0,0.0
0104_01,1,0,6,25,2,3,20.0,0,1.0,0.0,0.0,2433,345,599.0,0.0
0106_01,1,1,6,26,2,3,17.0,0,0.0,0.0,0.0,2544,1790,0.0,0.0
0109_01,1,0,6,22,1,3,34.0,0,0.0,0.0,39.0,403,749,1.0,556.0
0117_01,1,0,5,4,1,2,24.0,0,0.0,22.0,82.0,555,2147,0.0,686.0
0118_01,1,0,7,14,1,3,29.0,0,14.0,869.0,-1.0,1212,1833,1.0,0.0
0121_01,1,0,6,26,1,3,20.0,0,1037.0,1.0,2.0,757,460,0.0,1576.0
0124_01,1,1,7,15,1,1,5.0,0,0.0,0.0,0.0,292,1878,0.0,0.0
0125_01,3,1,2,6,1,1,22.0,0,0.0,0.0,0.0,1152,1519,0.0,0.0
0125_02,3,0,2,6,1,3,16.0,0,3966.0,2872.0,0.0,1687,1519,0.0,2458.0
0130_01,1,1,7,16,1,1,7.0,0,0.0,0.0,0.0,1330,783,0.0,0.0
0131_01,1,0,6,28,2,1,36.0,0,0.0,0.0,571.0,2487,1197,36.0,0.0
0132_01,2,0,4,4,2,1,26.0,0,46.0,315.0,2305.0,2528,1580,0.0,97.0
0135_01,1,0,6,28,1,3,40.0,0,413.0,514.0,1.0,2020,944,0.0,0.0
0137_01,1,1,7,24,2,3,29.0,0,0.0,0.0,0.0,2021,2138,0.0,0.0
0142_01,2,1,6,30,2,3,2.0,0,0.0,0.0,0.0,1405,1213,0.0,0.0
0142_02,2,0,6,30,2,3,23.0,0,378.0,402.0,0.0,2638,1213,0.0,509.0
0142_03,2,0,6,30,2,3,0.0,0,0.0,0.0,0.0,1202,1213,0.0,0.0
0143_01,3,0,3,2,1,1,30.0,0,0.0,8853.0,6108.0,1891,862,29.0,3523.0
0145_01,1,0,5,6,1,3,56.0,0,0.0,44.0,23.0,1141,95,723.0,0.0
0150_01,3,1,2,7,1,3,36.0,0,0.0,0.0,0.0,1071,1138,0.0,0.0
0150_02,3,1,2,7,1,3,56.0,0,0.0,0.0,0.0,1848,1138,0.0,0.0
0153_01,1,0,6,32,2,3,19.0,0,32.0,0.0,521.0,2311,655,0.0,223.0
0154_01,1,1,7,21,1,2,39.0,0,0.0,0.0,0.0,1233,2019,0.0,0.0
0155_01,2,0,6,33,1,3,38.0,0,2.0,26.0,148.0,1634,1195,1213.0,0.0
0156_01,2,-1,6,34,1,3,-1.0,0,0.0,0.0,0.0,2852,1781,0.0,0.0
0157_01,3,0,1,1,1,3,35.0,0,0.0,463.0,0.0,2109,178,1502.0,585.0
0158_01,1,0,5,9,2,1,26.0,0,832.0,0.0,0.0,531,2194,21.0,136.0
0158_02,1,0,6,33,2,3,31.0,0,0.0,0.0,705.0,121,2194,0.0,0.0
0159_01,1,0,6,34,2,3,38.0,0,0.0,3.0,0.0,2098,194,756.0,0.0
0161_01,1,0,6,35,1,1,27.0,0,-1.0,11.0,0.0,503,1905,0.0,1172.0
0162_01,2,1,6,36,1,1,30.0,0,0.0,0.0,0.0,2450,1765,0.0,0.0
0166_01,1,0,7,29,2,3,22.0,0,0.0,772.0,0.0,2712,453,0.0,0.0
0168_01,3,1,3,7,2,3,29.0,0,0.0,0.0,0.0,52,1969,0.0,0.0
0175_01,1,1,7,25,1,3,0.0,0,0.0,0.0,0.0,2190,568,0.0,0.0
0175_02,1,-1,7,25,1,1,8.0,0,0.0,0.0,0.0,1959,568,0.0,0.0
0175_03,1,1,7,25,1,3,3.0,0,0.0,0.0,0.0,2644,568,0.0,0.0
0175_04,1,1,7,25,1,3,27.0,0,0.0,0.0,0.0,2219,568,0.0,0.0
0175_05,1,0,7,25,1,3,9.0,0,0.0,0.0,0.0,1205,568,0.0,0.0
0176_01,1,0,6,39,1,2,29.0,0,362.0,15.0,0.0,431,1971,0.0,450.0
0180_01,1,0,6,40,1,3,18.0,0,756.0,116.0,0.0,1512,1922,1.0,58.0
0184_01,2,0,5,7,1,3,22.0,0,197.0,0.0,1175.0,1629,464,0.0,0.0
0185_01,2,0,6,37,2,3,24.0,0,6.0,11.0,1404.0,1952,1994,0.0,0.0
0187_01,2,1,6,38,2,1,25.0,0,0.0,0.0,0.0,638,1372,0.0,0.0
0191_01,1,0,6,39,2,3,36.0,0,261.0,0.0,206.0,1110,2007,465.0,0.0
0194_01,3,1,3,4,1,3,14.0,0,0.0,0.0,0.0,2586,1803,0.0,0.0
0194_02,3,1,3,4,1,1,24.0,0,0.0,0.0,0.0,584,1803,0.0,0.0
0194_03,3,0,3,4,1,1,26.0,1,0.0,275.0,0.0,1470,1803,4572.0,163.0
0204_01,1,0,6,43,1,2,29.0,0,1669.0,2.0,242.0,134,1474,155.0,0.0
0208_01,1,-1,7,33,1,3,40.0,0,44.0,0.0,565.0,1489,2091,0.0,18.0
0209_01,3,0,2,10,1,3,36.0,-1,33.0,-1.0,0.0,2479,650,12767.0,1193.0
0214_01,3,0,5,12,2,3,46.0,0,717.0,516.0,4.0,2424,1019,2.0,2439.0
0214_02,3,0,5,12,2,3,42.0,0,4762.0,20.0,0.0,1726,1019,4.0,41.0
0215_01,1,1,7,34,1,3,23.0,0,0.0,0.0,0.0,2818,2285,0.0,0.0
0218_01,1,0,7,35,1,3,19.0,0,741.0,12.0,1.0,1069,941,0.0,0.0
0226_01,3,0,4,7,2,1,25.0,0,3.0,3833.0,8098.0,2296,680,1531.0,0.0
0227_01,1,-1,0,0,0,3,22.0,0,0.0,0.0,0.0,2119,233,0.0,0.0
0228_01,3,1,2,4,2,3,35.0,0,0.0,0.0,0.0,523,1314,0.0,0.0
0228_02,3,0,2,4,2,1,39.0,-1,0.0,25273.0,0.0,892,1530,13.0,1714.0
0228_03,3,1,2,4,2,1,42.0,0,0.0,0.0,0.0,2043,1314,0.0,0.0
0228_04,3,0,2,4,2,3,35.0,0,0.0,1442.0,0.0,2237,1314,1813.0,6439.0
0230_01,1,1,6,49,1,2,29.0,0,0.0,0.0,0.0,1436,1935,0.0,0.0
0230_02,1,0,6,49,1,3,20.0,0,786.0,0.0,0.0,221,1935,0.0,-1.0
0235_01,1,1,7,40,1,3,25.0,0,0.0,0.0,0.0,848,1706,0.0,0.0
0236_01,2,1,6,51,1,3,36.0,0,0.0,0.0,0.0,1131,2226,0.0,0.0
0238_01,2,0,4,7,1,3,39.0,0,2556.0,0.0,22.0,218,528,0.0,0.0
0247_01,3,1,4,9,1,1,23.0,0,0.0,0.0,0.0,402,1200,0.0,0.0
0247_02,3,1,4,9,1,1,19.0,0,0.0,0.0,0.0,1456,1200,0.0,0.0
0249_01,1,0,7,41,1,3,50.0,0,0.0,0.0,78.0,604,2230,751.0,78.0
0256_01,1,0,6,48,2,2,41.0,0,0.0,0.0,728.0,1486,1575,0.0,0.0
0259_01,2,0,6,55,1,1,19.0,0,1.0,0.0,2839.0,2181,1475,85.0,0.0
0262_01,1,0,7,39,2,3,20.0,0,186.0,0.0,0.0,2399,1954,602.0,100.0
0264_01,3,1,2,5,2,1,19.0,0,0.0,0.0,0.0,2018,1298,0.0,0.0
0264_02,3,1,2,5,2,3,38.0,0,0.0,0.0,0.0,837,1298,0.0,0.0
0264_03,3,0,2,5,2,1,32.0,0,1340.0,-1.0,0.0,2680,1298,8517.0,1256.0
0266_01,2,0,5,12,1,3,44.0,0,696.0,0.0,462.0,2120,1149,46.0,94.0
0266_02,2,0,6,57,1,3,18.0,0,1542.0,0.0,138.0,1734,1149,0.0,0.0
0268_01,2,0,6,58,1,3,49.0,0,108.0,0.0,41.0,2414,1862,1560.0,0.0
0268_02,2,0,5,13,1,1,23.0,0,3186.0,0.0,0.0,2808,1862,2.0,0.0
0271_01,1,0,7,44,1,3,31.0,0,41.0,334.0,1.0,860,1047,62.0,484.0
0272_01,2,0,4,10,1,3,55.0,0,1054.0,0.0,2.0,2643,1122,0.0,1.0
0273_01,2,0,6,60,1,3,60.0,0,60.0,0.0,7022.0,2488,53,0.0,0.0
0273_02,2,1,6,60,1,3,20.0,0,0.0,0.0,0.0,2539,53,0.0,0.0
0273_03,2,0,5,14,1,3,34.0,0,301.0,0.0,79.0,2245,53,919.0,0.0
0274_01,2,0,5,17,2,0,14.0,0,123.0,0.0,0.0,932,1583,1936.0,22.0
0274_02,2,1,5,17,2,3,26.0,0,0.0,-1.0,0.0,2519,1583,0.0,-1.0
0276_01,3,0,2,6,2,1,19.0,0,0.0,86.0,0.0,20,2243,368.0,4055.0
0276_02,3,1,2,6,2,3,25.0,0,0.0,0.0,0.0,892,2243,0.0,0.0
0279_01,1,0,6,62,1,1,42.0,0,98.0,10.0,0.0,746,1755,613.0,0.0
0280_01,1,0,6,53,2,3,18.0,0,212.0,678.0,12.0,1990,1137,0.0,0.0
0284_01,2,0,5,15,1,3,50.0,0,0.0,0.0,1299.0,1403,881,0.0,0.0
0292_01,1,0,6,56,2,3,26.0,0,0.0,-1.0,0.0,671,1731,1079.0,281.0
0293_01,3,1,0,0,0,3,47.0,0,0.0,0.0,0.0,281,288,0.0,0.0
0295_01,1,0,6,66,1,2,35.0,0,-1.0,627.0,0.0,484,1980,44.0,0.0
0296_01,2,0,6,57,2,1,58.0,0,73.0,0.0,422.0,1296,1855,978.0,0.0
0299_01,1,0,6,58,2,1,20.0,0,376.0,0.0,242.0,1068,447,1.0,0.0
0300_01,3,0,4,11,1,3,28.0,0,5.0,11549.0,132.0,777,1593,4966.0,524.0
0308_01,1,1,7,48,1,2,12.0,0,-1.0,0.0,0.0,2399,1954,0.0,0.0
0311_01,1,0,5,17,1,1,20.0,0,-1.0,0.0,0.0,675,1080,10.0,0.0
0312_01,1,1,7,49,1,3,22.0,0,0.0,0.0,0.0,1406,852,0.0,0.0
0317_01,1,0,7,43,2,3,31.0,0,0.0,34.0,81.0,1736,1654,0.0,608.0
0318_01,1,1,7,52,1,2,24.0,0,0.0,0.0,0.0,2182,1940,0.0,0.0
0319_01,2,0,5,18,1,3,17.0,0,1031.0,0.0,1026.0,2598,17,42.0,0.0
0319_02,2,1,6,69,1,1,-1.0,0,0.0,0.0,0.0,1657,17,0.0,0.0
0323_01,1,1,0,0,0,1,18.0,0,0.0,0.0,0.0,2276,748,0.0,0.0
0325_01,1,0,7,54,1,3,48.0,-1,-1.0,755.0,0.0,1198,2020,0.0,0.0
0328_01,1,0,6,71,1,3,38.0,0,3.0,1252.0,1.0,467,537,0.0,0.0
0329_01,3,1,2,14,1,1,33.0,-1,0.0,0.0,0.0,2783,2403,0.0,0.0
0332_01,1,1,7,55,1,3,20.0,0,0.0,0.0,0.0,386,1186,0.0,0.0
0335_01,2,0,5,20,2,3,22.0,-1,0.0,0.0,0.0,551,364,0.0,0.0
0339_01,1,0,6,75,1,3,52.0,0,356.0,34.0,288.0,2101,1081,0.0,124.0
0339_02,1,0,6,75,1,1,15.0,0,638.0,0.0,7.0,405,1385,0.0,0.0
0339_03,1,0,6,75,1,3,25.0,0,10.0,2.0,755.0,768,1385,0.0,9.0
0339_04,1,1,7,56,1,1,14.0,0,0.0,0.0,0.0,1704,1461,0.0,0.0
0339_05,1,1,7,56,1,1,-1.0,0,0.0,0.0,0.0,927,1385,0.0,0.0
0339_06,1,0,6,75,1,3,16.0,0,1395.0,0.0,0.0,2311,1385,21.0,522.0
0339_07,1,0,7,56,1,3,48.0,0,1.0,0.0,259.0,496,1081,308.0,450.0
0339_08,1,0,6,75,1,3,36.0,0,0.0,69.0,0.0,2531,1081,0.0,796.0
0342_01,1,0,5,19,1,2,19.0,0,0.0,74.0,610.0,2201,2252,0.0,-1.0
0342_02,1,1,7,58,1,2,43.0,0,0.0,0.0,0.0,2318,2252,0.0,0.0
0344_01,3,1,3,8,1,3,32.0,0,0.0,0.0,0.0,1177,746,0.0,0.0
0344_02,3,0,3,8,1,1,54.0,0,0.0,8.0,4391.0,2399,1954,4882.0,7.0
0349_01,3,-1,1,4,2,3,33.0,0,0.0,1030.0,0.0,2012,1642,3490.0,5832.0
0349_02,3,1,1,4,2,3,21.0,0,0.0,0.0,0.0,1683,1642,0.0,0.0
0349_03,3,0,1,4,2,3,33.0,0,23.0,0.0,737.0,380,1642,493.0,1373.0
0349_04,3,1,1,4,2,1,28.0,0,0.0,0.0,0.0,1435,1642,0.0,0.0
0349_05,3,0,1,4,2,3,23.0,0,0.0,1468.0,0.0,1074,1642,704.0,1193.0
0349_06,3,0,1,4,2,3,26.0,0,8.0,67.0,0.0,1715,1642,393.0,1975.0
0351_01,2,1,6,77,1,3,41.0,-1,0.0,0.0,0.0,127,832,0.0,0.0
0353_01,1,1,7,61,1,3,2.0,0,-1.0,0.0,0.0,2116,1157,0.0,0.0
0353_02,1,1,7,61,1,2,21.0,0,0.0,0.0,0.0,2833,1157,0.0,0.0
0354_01,1,0,6,79,1,2,70.0,0,130.0,0.0,1247.0,2389,99,0.0,3.0
0362_01,1,0,6,80,1,3,20.0,0,0.0,1704.0,3.0,1887,200,0.0,0.0
0363_01,1,0,5,22,2,3,31.0,0,273.0,722.0,1.0,313,2176,0.0,0.0
0363_02,1,0,5,22,2,3,8.0,0,0.0,0.0,0.0,2244,2176,0.0,-1.0
0363_03,1,1,5,22,2,3,5.0,0,0.0,0.0,0.0,1142,2176,0.0,0.0
0364_01,2,0,6,81,1,3,45.0,0,288.0,0.0,932.0,2100,255,4.0,0.0
0364_02,2,0,0,0,0,3,37.0,0,731.0,0.0,517.0,1332,255,50.0,0.0
0366_01,1,1,7,52,2,3,24.0,0,0.0,0.0,0.0,2399,1954,0.0,0.0
0367_01,3,0,4,11,2,1,55.0,0,0.0,538.0,0.0,1600,1675,6.0,5288.0
0374_01,1,0,6,86,1,3,18.0,0,0.0,251.0,-1.0,9,692,0.0,553.0
0374_02,1,0,0,0,0,3,36.0,0,6.0,0.0,0.0,2166,692,783.0,0.0
0386_01,2,0,4,12,2,3,59.0,0,1678.0,-1.0,0.0,2626,2386,0.0,0.0
0390_01,1,1,7,67,1,3,61.0,0,0.0,0.0,0.0,1936,1169,0.0,0.0
0393_01,1,0,7,58,2,1,46.0,0,4908.0,1.0,3.0,1068,880,1.0,14.0
0394_01,2,0,6,87,1,3,29.0,0,87.0,1192.0,67.0,1391,130,0.0,3.0
0399_01,1,1,7,68,1,3,18.0,0,0.0,0.0,0.0,394,1594,0.0,0.0
0400_01,3,1,3,10,1,3,20.0,0,0.0,0.0,0.0,851,1600,0.0,0.0
0404_01,2,0,6,88,1,3,28.0,0,4.0,0.0,2219.0,731,654,0.0,0.0
0406_01,1,0,6,70,2,3,26.0,0,708.0,183.0,10.0,108,1764,0.0,0.0
0414_01,1,0,6,93,1,3,32.0,0,642.0,0.0,759.0,1902,234,332.0,1444.0
0416_01,1,0,5,23,2,3,18.0,0,658.0,0.0,0.0,1108,1631,0.0,5.0
0418_01,1,0,6,94,1,3,50.0,0,1.0,0.0,0.0,271,410,736.0,0.0
0419_01,1,0,7,70,1,3,47.0,0,239.0,75.0,487.0,2386,963,7.0,0.0
0419_02,1,1,7,70,1,2,15.0,0,0.0,0.0,0.0,2399,1954,0.0,0.0
0419_03,1,1,7,70,1,0,35.0,0,0.0,0.0,0.0,243,963,0.0,0.0
0420_01,1,0,6,95,1,3,49.0,0,189.0,-1.0,0.0,299,1556,882.0,0.0
0421_01,3,0,3,12,1,1,32.0,0,0.0,2116.0,6252.0,1788,388,0.0,81.0
0422_01,1,0,7,61,2,3,63.0,0,4.0,6.0,0.0,83,1062,-1.0,835.0
0424_01,2,0,6,73,2,3,54.0,0,129.0,0.0,441.0,2181,1073,1028.0,0.0
0426_01,1,0,6,74,2,3,21.0,-1,128.0,0.0,20.0,1190,733,628.0,0.0
0440_01,2,0,4,14,1,3,38.0,0,1030.0,1347.0,197.0,2032,2254,3.0,0.0
0443_01,2,0,5,24,2,3,50.0,0,0.0,0.0,0.0,454,2061,0.0,0.0
0450_01,1,0,6,82,2,2,32.0,0,1.0,0.0,858.0,2502,915,0.0,689.0
0451_01,3,1,3,17,2,1,33.0,0,0.0,0.0,0.0,1137,1173,0.0,0.0
0455_01,3,0,4,16,1,3,30.0,0,0.0,870.0,67.0,2731,1018,1.0,461.0
0464_01,1,1,7,68,2,3,28.0,0,0.0,0.0,0.0,131,84,0.0,-1.0
0467_01,2,1,4,17,1,3,22.0,0,0.0,0.0,0.0,2453,190,0.0,0.0
0467_02,2,1,4,17,1,3,-1.0,0,0.0,0.0,0.0,712,190,0.0,-1.0
0467_03,2,1,4,17,1,1,37.0,0,0.0,0.0,0.0,1018,190,0.0,0.0
0467_04,2,0,4,17,1,3,59.0,0,53.0,0.0,2736.0,1384,190,0.0,0.0
0469_01,3,0,3,18,2,3,31.0,0,0.0,2522.0,0.0,491,2248,0.0,2756.0
0473_01,1,0,6,102,1,3,25.0,0,246.0,0.0,541.0,920,1573,0.0,16.0
0478_01,3,0,3,14,1,3,38.0,0,8.0,147.0,0.0,2355,488,7668.0,46.0
0478_02,3,1,3,14,1,1,37.0,0,0.0,0.0,0.0,1145,488,0.0,0.0
0479_01,3,1,2,16,2,1,44.0,0,0.0,0.0,0.0,1247,1621,0.0,0.0
0483_01,3,1,4,18,1,3,28.0,-1,0.0,0.0,0.0,2514,1930,0.0,0.0
0483_02,3,0,4,18,1,3,45.0,0,0.0,0.0,0.0,2474,1930,0.0,0.0
0484_01,2,1,6,104,1,1,53.0,0,0.0,0.0,0.0,228,2370,0.0,0.0
0486_01,1,0,7,75,1,1,21.0,0,0.0,0.0,687.0,2755,458,0.0,21.0
0489_01,2,1,5,31,1,3,33.0,0,0.0,0.0,0.0,2094,882,0.0,0.0
0489_02,2,1,6,105,1,3,18.0,0,0.0,0.0,0.0,8,882,0.0,0.0
0491_01,1,0,6,106,1,2,37.0,0,-1.0,0.0,1022.0,1440,2165,15.0,0.0
0492_01,2,0,4,17,2,3,34.0,0,648.0,0.0,371.0,903,387,38.0,0.0
0493_01,1,1,7,72,2,3,46.0,0,0.0,0.0,0.0,2399,1954,0.0,0.0
0494_01,3,1,3,15,1,1,18.0,0,0.0,0.0,0.0,90,1787,0.0,0.0
0494_02,3,0,3,15,1,3,19.0,0,1.0,1378.0,63.0,2458,1787,163.0,659.0
0495_01,1,1,7,73,2,3,4.0,0,0.0,0.0,0.0,2694,602,0.0,0.0
0495_02,1,1,7,73,2,3,0.0,0,0.0,0.0,0.0,848,602,0.0,0.0
0495_03,1,1,7,73,2,3,12.0,0,0.0,0.0,0.0,2858,602,0.0,0.0
0495_04,1,0,7,73,2,3,7.0,0,0.0,0.0,0.0,2820,602,0.0,0.0
0495_05,1,0,7,73,2,3,34.0,0,1729.0,17.0,0.0,722,602,-1.0,1298.0
0495_06,1,0,7,73,2,3,10.0,0,0.0,0.0,0.0,2602,602,0.0,0.0
0496_01,1,0,7,77,1,1,0.0,0,-1.0,0.0,0.0,1256,804,0.0,0.0
0496_02,1,1,7,77,1,2,14.0,0,0.0,0.0,0.0,1712,804,0.0,0.0
0497_01,2,1,6,107,1,3,27.0,0,0.0,0.0,0.0,1155,1235,0.0,0.0
0505_01,1,0,6,108,1,3,21.0,0,15.0,345.0,18.0,806,1227,486.0,0.0
0508_01,3,0,4,20,1,1,37.0,0,4105.0,2081.0,1.0,728,1661,118.0,446.0
0509_01,1,1,0,0,0,3,29.0,0,0.0,0.0,0.0,2711,1587,0.0,0.0
0511_01,1,0,7,76,2,0,17.0,0,441.0,0.0,131.0,473,52,315.0,5.0
0514_01,1,1,7,79,1,3,17.0,0,0.0,0.0,0.0,1675,1863,0.0,0.0
0524_01,3,0,8,0,2,3,35.0,0,0.0,6442.0,672.0,669,2374,238.0,60.0
0526_01,1,1,7,80,1,3,34.0,0,0.0,0.0,0.0,1959,32,0.0,0.0
0530_01,3,0,2,21,2,3,17.0,0,760.0,752.0,0.0,2434,570,16.0,2471.0
0530_02,3,0,2,21,2,1,39.0,0,0.0,547.0,0.0,1014,570,1121.0,4641.0
0530_03,3,1,2,21,2,1,56.0,-1,0.0,0.0,0.0,2521,570,0.0,0.0
0532_01,3,0,2,22,2,1,35.0,0,3424.0,20.0,0.0,65,113,442.0,1130.0
0532_02,3,1,2,22,2,3,17.0,0,0.0,0.0,0.0,579,113,0.0,0.0
0535_01,1,0,5,34,2,2,29.0,0,0.0,0.0,288.0,109,85,395.0,0.0
0536_01,2,0,6,94,2,3,15.0,0,4922.0,0.0,2427.0,2392,991,0.0,0.0
0536_02,2,0,5,35,2,0,37.0,0,1063.0,133.0,99.0,1590,991,2.0,0.0
0541_01,3,1,2,23,2,3,36.0,0,0.0,0.0,0.0,1241,1793,0.0,0.0
0543_01,1,1,7,85,1,3,36.0,0,0.0,0.0,0.0,582,448,0.0,0.0
0544_01,3,0,3,20,2,3,18.0,0,4.0,9352.0,0.0,1497,1229,10.0,46.0
0554_01,2,0,6,112,1,3,61.0,0,2221.0,0.0,0.0,2857,1455,1.0,0.0
0557_01,2,1,6,113,1,3,45.0,0,0.0,0.0,0.0,2471,2055,0.0,0.0
0557_02,2,1,6,113,1,3,21.0,0,0.0,0.0,0.0,1622,2055,0.0,0.0
0558_01,1,0,6,101,2,3,65.0,0,0.0,804.0,0.0,1082,1620,0.0,0.0
0562_01,2,0,6,104,2,3,27.0,0,286.0,0.0,1023.0,498,640,0.0,0.0
0562_02,2,1,6,104,2,3,13.0,0,0.0,0.0,0.0,567,640,0.0,0.0
0574_01,2,0,0,0,0,3,32.0,-1,2543.0,1.0,55.0,2677,719,0.0,0.0
0578_01,1,1,7,84,2,3,17.0,0,0.0,0.0,0.0,1366,733,0.0,0.0
0578_02,1,-1,7,84,2,3,44.0,0,0.0,0.0,0.0,2253,733,0.0,0.0
0584_01,1,1,7,88,1,3,21.0,0,0.0,0.0,0.0,1563,659,0.0,0.0
0584_02,1,0,6,119,1,3,16.0,0,0.0,379.0,0.0,657,659,2488.0,1.0
0592_01,1,0,6,122,1,3,41.0,0,0.0,1032.0,0.0,2742,1973,0.0,32.0
0595_01,1,1,7,88,2,3,40.0,0,0.0,0.0,0.0,2284,2021,0.0,0.0
0601_01,1,0,7,92,1,3,16.0,0,0.0,492.0,0.0,134,222,0.0,0.0
0604_01,1,0,6,127,1,3,17.0,0,0.0,24.0,673.0,1192,174,0.0,0.0
0605_01,1,0,6,110,2,3,40.0,0,5.0,0.0,3.0,2377,1626,447.0,424.0
0606_01,1,1,7,93,1,2,37.0,0,0.0,0.0,0.0,1742,1181,0.0,0.0
0613_01,3,1,2,26,1,3,53.0,0,0.0,0.0,0.0,2558,2095,0.0,0.0
0613_02,3,1,2,26,1,3,42.0,0,0.0,0.0,0.0,1490,2095,0.0,0.0
0616_01,0,0,5,40,2,3,31.0,0,0.0,428.0,-1.0,1701,1278,1154.0,1025.0
0617_01,2,0,6,130,1,0,18.0,0,1644.0,430.0,158.0,1384,1925,0.0,0.0
0620_01,2,0,6,132,1,3,51.0,1,755.0,6.0,284.0,2636,923,102.0,-1.0
0620_02,2,0,6,132,1,0,20.0,0,0.0,0.0,1281.0,624,923,8.0,0.0
0620_03,2,0,6,132,1,1,19.0,0,0.0,0.0,1435.0,1393,923,15.0,0.0
0621_01,1,0,5,41,2,3,22.0,0,499.0,46.0,174.0,1003,455,61.0,7.0
